subject,unit,topic,subtopic,status,confidence,hours_spent,problems_solved,video_watched,book_chapter,notes,difficulty,importance,dependencies,last_revised,next_revision
Calculus,Limits and Continuity,Epsilon-delta intuition,,Not Started,1,0,0,,,,Medium,3,,,
Calculus,Derivatives,Optimization and approximation,,Not Started,1,0,0,,,,Medium,3,,,
Calculus,Integrals,Techniques and applications,,Not Started,1,0,0,,,,Medium,3,,,
Linear Algebra,Vector Spaces,Subspaces and bases,,Not Started,1,0,0,,,,Medium,3,,,
Linear Algebra,Matrices,"Rank, inverse, factorization",,Not Started,1,0,0,,,,Medium,3,,,
Linear Algebra,Eigenvalues,Diagonalization and spectral ideas,,Not Started,1,0,0,,,,Medium,3,,,
Probability,Random Variables,Distributions and expectation,,Not Started,1,0,0,,,,Medium,3,,,
Probability,Limit Theorems,LLN and CLT,,Not Started,1,0,0,,,,Medium,3,,,
Probability,Stochastic Models,Markov chains,,Not Started,1,0,0,,,,Medium,3,,,
Statistics,Estimation,"Bias, variance, MLE",,Not Started,1,0,0,,,,Medium,3,,,
Statistics,Hypothesis Testing,Tests and p-values,,Not Started,1,0,0,,,,Medium,3,,,
Statistics,Regression,Linear models,,Not Started,1,0,0,,,,Medium,3,,,
Optimization,Convexity,Convex sets and functions,,Not Started,1,0,0,,,,Medium,3,,,
Optimization,Unconstrained,Gradient and Newton methods,,Not Started,1,0,0,,,,Medium,3,,,
Optimization,Constrained,KKT conditions,,Not Started,1,0,0,,,,Medium,3,,,
Real Analysis,Sequences,Convergence,,Not Started,1,0,0,,,,Medium,3,,,
Real Analysis,Continuity,Metric space view,,Not Started,1,0,0,,,,Medium,3,,,
Real Analysis,Integration,Riemann foundations,,Not Started,1,0,0,,,,Medium,3,,,
Differential Equations,First Order ODE,Separable and linear,,Not Started,1,0,0,,,,Medium,3,,,
Differential Equations,Systems,Phase portraits,,Not Started,1,0,0,,,,Medium,3,,,
Differential Equations,Numerical ODE,Euler and RK methods,,Not Started,1,0,0,,,,Medium,3,,,
Numerical Methods,Linear Systems,Gaussian elimination,,Not Started,1,0,0,,,,Medium,3,,,
Numerical Methods,Interpolation,Polynomial methods,,Not Started,1,0,0,,,,Medium,3,,,
Numerical Methods,Numerical Integration,Quadrature,,Not Started,1,0,0,,,,Medium,3,,,
Abstract Algebra,Groups,Subgroups and homomorphisms,,Not Started,1,0,0,,,,Medium,3,,,
Abstract Algebra,Rings,Ideals,,Not Started,1,0,0,,,,Medium,3,,,
Abstract Algebra,Fields,Extensions,,Not Started,1,0,0,,,,Medium,3,,,
Topology,Topological Spaces,Open sets,,Not Started,1,0,0,,,,Medium,3,,,
Topology,Compactness,Covers,,Not Started,1,0,0,,,,Medium,3,,,
Topology,Continuity,Homeomorphisms,,Not Started,1,0,0,,,,Medium,3,,,
Machine Learning Mathematics,Optimization for ML,Gradient descent,,Not Started,1,0,0,,,,Medium,3,,,
Machine Learning Mathematics,Probability for ML,Bayesian thinking,,Not Started,1,0,0,,,,Medium,3,,,
Machine Learning Mathematics,Linear Algebra for ML,SVD and PCA,,Not Started,1,0,0,,,,Medium,3,,,
